abs_dNOSC_bin,from_NOSC,to_NOSC,hamming_dist,dNOSC,abs_dNOSC,midpoint_abs_dNOSC,abs_dNOSC_std,hamming_dist_std
"(-0.002, 0.2]",-0.074,-0.06105454545454545,1.8727272727272728,0.012945454545454545,0.0496,0.099,0.07686028655707076,0.7461469262600711
"(0.2, 0.4]",0.21811369509043926,0.19434108527131785,2.356589147286822,-0.02377260981912144,0.33255813953488367,0.30000000000000004,0.05073979751094776,0.6767621360521215
"(0.4, 0.6]",-0.19401360544217686,-0.22421768707482995,2.183673469387755,-0.03020408163265306,0.5627210884353742,0.5,0.05437764729035811,0.7024459045448651
"(0.6, 0.8]",0.02485074626865672,0.1738805970149254,2.279850746268657,0.14902985074626865,0.7115671641791046,0.7,0.05778501390177537,0.6477017682823978
"(0.8, 1.0]",-0.039128205128205126,-0.007641025641025637,2.358974358974359,0.03148717948717948,0.9661538461538461,0.9,0.06176173808946659,0.6844058107381457
"(1.0, 1.2]",0.23507936507936508,-0.19682539682539682,2.2698412698412698,-0.43190476190476196,1.1112698412698414,1.1,0.04656151418472798,0.6860052292826744
"(1.2, 1.4]",-0.06710843373493976,-0.06120481927710843,2.463855421686747,0.005903614457831312,1.3526506024096385,1.2999999999999998,0.05409496335372608,0.6193013293592907
"(1.4, 1.6]",0.13428571428571429,-0.06714285714285714,2.7142857142857144,-0.20142857142857137,1.4614285714285715,1.5,0.013675269175156674,0.4558423058385518
"(1.6, 1.8]",0.02239130434782609,-0.15297101449275363,2.3260869565217392,-0.17536231884057973,1.700144927536232,1.7000000000000002,0.05506446795363251,0.6744886517121543
"(1.8, 2.0]",-0.16666666666666666,0.16666666666666666,2.6805555555555554,0.3333333333333333,2.0,1.9,0.0,0.5261175600670963
